Brewery,Beer,Style/ABV,Description
Outer Planet Brewing,Outer Planet Lime/Citra,Hoppy Seltzer 0.0%,
Peace of Mind Brewing,Smile,6% Cream Ale,"It's light, It's crisp and has a smooth mouthfeel! Brewed with cashmere hops."
Peace of Mind Brewing,The Rainbow Pale Ale,5% Citra Pale Ale,"This is our Mug Club collab brew, brewed with love and Citra hops for Pride Month!"
Peace of Mind Brewing,The Sour Unplugged,5.5% Sour Ale,"this sour ale balances crisp tartness with a soft and smooth mouthfeel. Magnum hops provide a clean bitterness while Hallertau Blanc in the whirlpool adds bright notes of 
 white grape and citrus."
Postdoc Brewing Company,Lunar Flyby,6.5% Hazy IPA,"Juicy citrus, berries & pine."
Postdoc Brewing Company,Tropical Studying Abroad,4.1% Fruit Ale,"Mango, tart key lime & pink guava"
Postdoc Brewing Company,Midlakes Lager,4.8% Lager,Very light and drinkable with a smooth body.
Postdoc Brewing Company,Hogus Maximus Extremis 2026 Coffee,15.8% BBA Strong Ale,"Coffee, bourbon & vanilla"
Project 9 Brewing,Analog Signal,XPA - 6.0%,"Brewed in collaboration with Indie Hops, this clean modern XPA showcases Crystal and Lorien for bright citrus, soft floral notes, and a crisp noble-hop snap."
Project 9 Brewing,Pacific Pathfinder,PNW Pils - 5.5%,"PNW Pils inspired by the modern West Coast Pils style, brewed with 100% Pacific Northwest ingredients: Buzz malt from LINC Malt and Strata and Audacia hops from Indie Hops. Crisp, bright, and hop-forward with notes of citrus, berry."
Project 9 Brewing,Mango Bomb!,Fruited Sour - 6.8%,"A bold, fruit-forward sour packed with fresh mango flavor and a bright, mouthwatering tartness."
Project 9 Brewing,Pressure Drop,Hazy IPA - 6.9%,"Brewed in collaboration with BreakThru Brewing, this hazy IPA is loaded with layers of Citra and Nelson Sauvin in every form we could throw at it. Huge waves of tropical citrus, white grape, passionfruit, and dank hop saturation from Citra Cryo, Citra Incognito, Nelson Sauvin, and Nelson Bliss Hop Kief."
Propolis Brewing,SPA-Spruce Pale Ale,5.5 Botanical Pale Ale,"Organic Wildcrafted Spruce Pale Ale
 Aromas of bright candied citrus, evergreen and tropical fruit. Tastes of blueberry, mango, lychee, raspberry. Finishes dry and crisp, with lingering notes of tropical fruit and resin."
Propolis Brewing,Montem- “Mountain”,5.5 Dry-Hopped Saison,"Organic Dry-Hopped Saison~Crisp high mountain meadow and alpine florals notes with light of citrus bitters, quintessentially refreshing with a memorable soft silky pillowy mouthfeel."
Propolis Brewing,Cuvée,6.0 Foeder aged Saison,"9 year Cognac Foeder aged saison brettanomyces~ “Bright citrus nose, aromas of damp oak, lemon rind and wet hay. Golden straw hue with tastes of candied citrus fruit, tangerine, lemon, melon and honey. Creamy and earthy with moderate tartness and acidity, ﬁnishing with a smooth rustic dry linger.”"
Propolis Brewing,Flemish Mahonia,Wild mixed culture Barrel Aged Fruited Sour,"Pinot Noir Barrel aged Native fruit Sour~Delicate aromas of light oak, lemon rind, peach & strawberries. Ruby-straw hue with tastes of tropical fruit, melon and dense strawberry. Earthy and crisp with moderate tartness, acidity & Tannins, ﬁnishes with a rustic dry bite"
Propolis Brewing,Propolis SPAH20,Sparkling Botanical Hop Water,
Rainwater Brewing,Rainwater IPA,"6.5% 60 IBU ""PNW IPA""","Ambiguous citrus and mango paired with subtle pine and dankness on a medium bodied slightly hazy, and slightly bready canvas. Fermented on clean chico-strain ale yeast."
Rainwater Brewing,Pine Grosebeak Pineapple Hefe,5.7% Weissbier,Banana esters and subtle pineapple with a medium-light body and crisp acidity.
Rainwater Brewing,Rufous Hummingbird Hazy Pale,5.8% 45 IBU Hazy Pale Ale,Candied pineapple and ambiguous tropical notes finished with a subtle grapefruit on a semi dry palate of pilsner and torrefied wheat.
Rainwater Brewing,Savanna Sparrow Peach Sour,6.5% Fruited Kettle Sour,"Peach, apricot and other stone fruit flavors on a semi-grainy wheat heavy palate. Philly sour yeast."
Ravenna Brewong Co,Voltova 10th Anniversary Edition - Collab with Linc Malt,4.5% - Czech Pale Lager,"The fact we were celebrating our 10 year anniversary while Linc Malt was enjoying theirs meant it was obvious what we had to do: Clearly we needed to brew a special edition of our flagship Czech-Style Pale Lager (a 10° Plato Světlý Výčepní) using only ingredients local to the Pacific Northwest. The base of this beer is Linc’s famous Baronesse Pilsner (you may know this malt from local legend Douglas Lager) combined with a modest percentage of Baronesse Vienna malt. This edition was also hopped exclusively with Idaho-grown Saaz hops, but the recipe is otherwise true to the Voltova you know and love: fermented cold and slow, spunded for natural carbonation, and lagered ice-cold. The malt character is snappy and crisp, with aromas of hay and fresh grass, plus light crackery notes. The hop character is assertively floral and bitter with a peppery spice complexity. Light, crisp, and excessively drinkable."
Ravenna Brewong Co,Bird Search - 10th Anniversary Collab with Human People,7% - West Coast IPA,"For our 10th anniversary, we we're thrilled to make a special beer with our friends and neighbors at Human People Beer Cafe. There was no doubt it should showcase a metric ton of Mosaic, and we took it a step further by loading up on a variety of hop products for a maximalist approach to this beloved style. Bird Search was brewed with a simple base of pilsner malt and a dash of chit malt, allowing the excessive hopping to shine without distraction. In the boil, we used Simcoe Cryo, Columbus Cryo, and Mosaic, while adding more Mosaic, Columbus Cryo, and Mosaic Incognito in the whirlpool. At knockout, we threw in a new product from Yakima Chief Hops: Mosaic 803 (supercritical CO2 extract). We also added beta-glucosidase, an exogenous enzyme aiding in the biotransformation of flavorless hop compounds into aromatic terpenes during fermentation. After fermentation, we dry-hopped with Mosaic, Mosaic Cryo, Riwaka, and a smidge of Columbus Cryo. FINALLY, we dosed the bright tank with Riwaka SubZero Hop Kief from Freestyle Hops, for even MORE lupulin. The result is absolutely saturated in hop oils, deftly balancing tropical fruit, citrus, berries, and sticky cannabis. Loud aromas of grapefruit hard candy and guava juice lead into flavors of tangerine gummies, fresh mixed berries, and resinous weed. A pleasant pithy bitterness lingers through the dry finish."
Rooftop Brewing Co,Old Seattle Lager,5.0% Lager,"Taste the original Seattle Bohemian Lager. Brewed for over 35 years, Old Seattle Lager is a crisp & drinkable classic."
Rooftop Brewing Co,Slack Tide IPA,6.5% W. Coast IPA,"A crisp, clear West Coast IPA featuring Citra Cryo, Simcoe Dynaboost, Mosaic, and El Dorado hops."
Rooftop Brewing Co,Cask Beer,TBD,We will pop a cask pin for the festival. Style and adjuncts yet TBD.
Schilling & Starfall Cider,Starfall Imperial Hazy Honeycrisp Cider,Imperial Apple Cider - 8.4%,"Fresh-pressed Honeycrisp apples fermented to 8.4% ABV and left unfiltered for full flavor. Crisp apple character with a naturally hazy finish - no shortcuts, no filtering out the good stuff.
 
 INGREDIENT HIGHLIGHTS: ​
 Fresh-pressed Honeycrisp apple juice, Citra hops.​
 
 **Citra hops add a subtle citrus brightness that lifts the apple's natural sweetness without bitterness - keeping it crisp and balanced"
Schilling & Starfall Cider,Schilling Moon Berries,Fruited Semi-Sweet Cider - 5.2%,"Juicy blackberries and bright blueberries mingle with a hint of sweet french lavender and tangy, fresh-pressed PNW apples. At a sparkling 5.2%, its
 flavor profile is fruited and semi-sweet making this a crushable year-round cider."
Schilling & Starfall Cider,Excelsior Imperial Apple,Imperial Apple Cider - 8.4%,"FLAVOR DESCRIPTION: ​
 
 A pioneer of imperials, this stellar cider takes flavor (and ABV) to new heights. With its
 tantalizingly tart fresh-pressed apples and semi-sweet profile, Excelsior launches your
 taste buds into an uncharted galaxy. A complex and crushable 8.4% ABV cider."
Schilling & Starfall Cider,Yuzu Peach (Schilling Legends of Cider - Summer Seasonal),Fruited Semi Sweet Cider - 6.5%,"A balanced, tangy and crisp summer refresher hits the spot. The Yuzu, an asian citrus brings a twang that balances delectably with the soft and sweet peach profile. A fun, bright summer crusher!
 
 INGREDIENT HIGHLIGHTS: ​
 
 Fresh-pressed apples, sugar, peach puree, yuzu juice, purple carrot juice (for color)."
Schilling & Starfall Cider,Ground Control - Cherry,N/A Fruited Cider,
Silver City Brewing Co.,Silver City IPA,6.3% IPA,"Boldly hoppede and classically structured, this American IPA balances old-school character with new age flair. A base of 2-Row, Munich, and Crystal malts brings subtle notes of toasted bread crust and light caramel, while a firm bitterness gives way to layers of citrus, tropical fruit, and pine. Crisp and balanced, it finishes clean and lingers like a good story."
Silver City Brewing Co.,Bavarian Style Hefeweizen,5.5% Bavarian Hefeweizen,"Our Bavarian style hefeweizen is unfiltered and bursting with clove, vanilla and banana accents. Each sip harmonizes tradition and refreshment in perfect balance."
Single Hill Brewing,Future Echoes,West Coast IPA 6.5%,"Everything old is new again... Future Echoes showcases a classic trio of Mosaic, Amarillo, and Centennial hops for punchy notes of pine and grapefruit."
Single Hill Brewing,Greenway,Pale Ale 5.4%,"A preview of our soon-to-be released permanently available Pale Ale! Modern, West-Coast style pale with Riwaka and Mosaic hops."
Skookum Brewery,Sasquatch Squeeze,Shandy 4.2%,"Lemon Shandy! What is it? Helles Lager with lemon puree. light, refreshing, crushable with notes of fresh squeezed lemonade and long summer nights."
Skookum Brewery,Self Destructor IIIPA,10.0% Hazy Triple IPA,"pils\wheat Hazy Triple IPA notes of mangoes, white peach and stiff mai-tai's.
 Hops: Simcoe, Citra, Rawaka"
Slightly Furry,Purrfectly Pear Cider,6.1% - Fruited Hard Cider,CiderCraft Double Gold Winner! Apples and Pears purrrfectly go together in this limited edition cider. It's a delightful balance of fresh juices that make this one an easy sipper or blended with some of our other ciders like CinnaBEAR for that warm spiced pear treat.
Slightly Furry,CinnaBEAR Cinnamon Cider,6.0% - Spiced Hard Cider,"CiderCraft Judges' Pick Winner! The fox side of Slightly Furry started with this blend of Apple, Cinnamon, and Brown sugar as their first homebrew batch back in 2013. It was such a hit amongst their friends that they kept making more while they kept asking when it would be for sale. That feedback began the idea of Slightly Furry as we know today. So, we are bringing back the classic for you to enjoy any time of the year and be instantly transported into fall amongst gatherings of furry friends."
Slightly Furry,PineappOWL Pineapple Cider,5.2% - Fruited Hard Cider,"PineappOWL pays homage to our first investor, taste tester, and biggest cheerleader. We crafted this cider after his original Owl fursona as a thank you for his ongoing support, balancing the bright flavor that pineapple is known for with more apple juice to tame the acidity. Lay back with a nice book and this cider in your claws for some summertime beach vibes."
Slightly Furry,C.R.E.A.M. Soda,Vanilla Bean Soda,
Steam Donkey Brewing Co.,360 Blonde Ale,4.40%,Cream Ale steeped with Earl Gray tea leaves.
Steam Donkey Brewing Co.,420 IPA,6.8,West Coast IPA dry hopped with Abstrax Brewgas - Sour Tangie
Stoup Brewing,Sticks & Stones,11% BBA Stout,"A big, bold, roasty stout brewed on a base of American 2-Row and Maris Otter malts and then aged in bourbon barrels."
Stoup Brewing,Pride Match Day IPA,6.2% West Coast IPA,"We're proud to brew a West Coast IPA celebrating Seattle Pride and the 2026 Pride Match. Citrus ,passionfruit and Proud AF."
Stoup Brewing,Bavarian Hefeweizen,5.0% Bavarian Hefeweizen,"We honor tradition by brewing this beer using decoction mashing techniques and fermenting with a German yeast strain that imparts prominent banana and clove notes. The wheat gives this beer a crisp, slightly tart, refreshing finish."
Stoup Brewing,Beerhall Helles,4.8% Helles,"German pilsner malt is the backbone for this clean, crisp German-style lager. A gentle malt sweetness teased out through traditional decoction brewing methods is balanced by German noble hops making for a spicy, bright finish."
STRUCTURES BREWING,Edel,4.9% abv Pilsner,"German Pilsner brewed with Mittelfruh and Spalt hops. With notes of wildflowers, and lemon peel."
STRUCTURES BREWING,Revenant,7.2% abv West Coast IPA,"West Coast IPA brewed with Nelson, Simcoe, and Citra bursting with aromas of mango and pomelo."
STRUCTURES BREWING,Cherry-berry Cheesecake,8% abv Imperial Sour Smoothie,"Traditional Sour Smoothie! Strawberries, Tart Cherries, Sweet Cherries, and Cheesecake!"
STRUCTURES BREWING,TROPICAL DREAMS,"Traditional Sour Smoothie! Pineapple, Mango, Passion Fruit, and Coconut! 7.2% abv","Our Flagship IPA is brewed with our favorite blend of malts and oats, and double-dry hopped with Galaxy, Citra, and Mosaic. Showcasing aromas of passionfruit, cantaloupe, and pineapple gummies."
Talking Cedar,Lewis County Brunch Brand Stout,Stout 17%,"A massive imperial brunch stout aged for two years in bourbon barrels, then finished with coffee, cinnamon, and maple syrup. Rich layers of dark chocolate, espresso, maple candy, bourbon caramel, and toasted oak lead into a velvety, warming finish built for serious stout lovers."
Talking Cedar,Tropical IPA,POG IPA 7%,"Tropical passionfruit, bright orange and juicy guava with light notes of coconut from a thoughtful Sabro dry hopping. Full flavored, juicy, and easy drinking."
Talking Cedar,Raspberry Blonde,Blonde 4.7%,"A crisp, easy-drinking blonde ale with bright, subtle raspberry character and a clean, refreshing finish. Light-bodied and perfectly balanced, this two-time Double Gold SIP Award winner delivers fresh berry aroma without overpowering sweetness."
Terramar Brewstillery,Padilla Bay Pilsner,5.3% ABV - German Style Pilsner,"A light, crackery malt base supports delicate floral, herbal and spicy hop notes in this crisp German Style Pilsner that’s mildly bitter and endlessly refreshing."
Terramar Brewstillery,Samish Bay IPA,7.2% ABV - West Coast IPA,"A crisp and true to the terroir contemporary West Coast IPA bursting with tropical fruit, citrus, stone fruit as well as subtle floral and resinous pine notes."
Terramar Brewstillery,Harvest Raspberry Bluberry Cider,6.9% ABV - Fruited Cider,Fresh WA apple juice fermented on an English Ale yeast strain and then conditioned on loads of locally grown blueberries and raspberries.
Trap Door Brewing,Glowed Up,6.8 Hazy IPA,
Trap Door Brewing,Day Beer,5.8 WC Pale,
Trap Door Brewing,Saturn Sour,6.0 Fruited Sour Ale,
Trap Door Brewing,Off Season,6.5 WCIPA,
U-Neek Brewing Company,Arc Furnace,German-Style Pilsner / 5.0%,"German-Style Pilsner built on Pilsen and Dextra Pils malts, balanced with Millennium and Hallertau Mittelfruh hops, and fermented with Augustiner Lager yeast."
U-Neek Brewing Company,Smith and Weizen,Blood Orange Hefeweizen / 5.2%,"German Hefeweizen with blood orange added to the secondary fermentation. Built on Two-Row and White Wheat malts, with a simple dose of Millennium hops, and fermented with Hefeweizen yeast."
U-Neek Brewing Company,Wolf Bite,West Coast IPA / 6.5%,"West Coast IPA brewed in partnership with the Washington Wolfpack Arena Football team based out of Everett. Brewed with Two-Row, Marris Otter, Carapils, and Munich malts, hopped with Columbus, Centennial, and a huge dose of Mandarina Bavaria hops, and fermented with Safale US-05 yeast."
U-Neek Brewing Company,"Brown Chicken, Brown Cow",English Brown Ale / 4.6%,"English Brown Ale built on a complex mix of Two-Row, Amber, Crystal 60, and Chocalte malts, hopped exclusively with East Kent Goldings hops, and fermented with London Ale III yeast."
Urban Family Brewing,Slaying Mantis,7.3% - Hazy IPA,We take your favourite Mosaic hops and throw in some Dolcita in this drinkable hazy IPA. Big peach energy with a pineapple and tropical finish.
Urban Family Brewing,"Pie, Oh My!",5.5% - Cherry Pie Sour Ale,"Inspired by cherry pie made at Ben's Bread, this collaboration with them and Ridgewood is reminiscent of tart cherry with a dominant cinnamon and background note of clove! Pink/red, sour/tart, crisp, cherry and cinnamon forward."
Varietal Beer Co,There's No Such Thing As Seagull's Oliver!,8.1% Wine Grape Mixed Ferm,"8.1% ABV - Wild Ale re-fermented on whole Syrah grapes
 
 We continue our wild collaboration with our friend Oliver May from Discover Vineyard (Horse Heaven Hills AVA), celebrating Chris & Oliver’s mentor, conservationist Dr. Steven Herman. This beer was blended from selected wine barrel aged wild ale aged in red wine barrels, then re-fermented for about a year on lightly crushed Syrah grapes with a small portion of Petite Verdot grapes added, before allowing the beer to condition naturally. This beer features a mild acidity with bright red berry flavor and a touch of black pepper. The deep red color of this beer comes from the long contact time with the Syrah grape skins."
Varietal Beer Co,Moxee Light,4.5% Patio Beer (Cream Ale),"Crisp, clear, and ULTRA refreshing, this light-bodied ale is perfect for quaffing on the patio while the grill is getting warmed up. El Dorado hops peek through in the aroma and finish leaving you needing another, and another, and another sip."
Varietal Beer Co,Sup Cuz IPA,6.3 Hazy IPA,"Our most popular beer, the tropical & citrus flavors in SUP CUZ IPA come from Amarillo, Cascade, Comet & Citra, all hops grown by our close friends at Loza Farms in Wapato. Very light bodied for the style, this beer is perfect paired a relaxed afternoon with family and friends."
Vice Beer,Ribbit Robot: Super Krush,8.25% DDH Double Hazy IPA,"Ribbit Robot: Super Krush is a double dry-hopped IPA with Krush and Citra on the hot side and a dry hop of Krush, Citra Hyperboost, Citra Cryo and Rakau! The result is a KRUSHable banger with new artwork by @mayfair_pdx! Tropical fruit medley meets pillowy mouthfeel with a nose full of white grape, grapefruit and citrus peel. Sneaky at 8.25%."
Vice Beer,Mr. Roboto,4.5% Rice Lager,"Somewhere between Cybertron and Kilroy’s hideout, this Rice Lager was engineered for one purpose: maximum crushability.
 
 Mr. Roboto powers up with a clean, crisp malt profile, a smooth rice-lager glide, and a finish so snappy it might just transform your afternoon. Light, bright, and refreshingly precise, it’s built for humans, Autobots, and suspiciously emotional synth-pop androids alike."
Vice Beer,Cut My Lime (into pieces),5% Mexican Lager with Lime,A last resort Mexican Lager with lime juice and lime zest.
Vice Beer,The Last of the Big Dawgz,6.89% West Coast IPA,"The Last of the Big Dawgz is a West Coast IPA brewed as a loving nod to our former head brewer, Aaron Copelin — a NorCal original known for rocking socks with sandals, cruising in a Subaru Forester with California plates, and calling just about everybody Big Dog.
 
 Just like the man himself, this beer is classic, unbothered, and full of character: bright citrus, piney bitterness, a little dankness, and a crisp, clean finish that keeps things moving. Columbus and Simcoe lay down the old-school backbone, while Krush, Mosaic, Nelson, and Mosaic Cryo ride shotgun for a punchy modern hop blast.
 
 A little Northern California attitude, a little Pacific Northwest polish, and a whole lot of Big Dog energy."
Volition Brewing,Riker Maneuver,6.5 West Coast IPA,"This West Coast IPA is coming at you from deep in Sector 441 in the Beta Quadrant. Made with Great Western malts Loaded with Comet, Cascade and Citra, The Riker Maneuver hits with citrus, melon, pine resin and a rounded bitterness. Please enjoy responsibly and please refrain from swinging your leg over the chair when you sit down. Not everyone can pull that off like the galaxy’s favorite playboy"
Volition Brewing,Common Ground,5.0 West Coast Pilsner,"Brewed by Jamie, one of Volition’s founders, Common Ground is a toast to resilience, connection, and the joy found in shared moments. Crisp, light, and layered with citrus, melon, and pine from Strata, Citra, and Mosaic hops, this West Coast Pilsner is easy to drink, easy to share, and made for everyone."
Volition Brewing,Vampire Beach Party,5.8% Fruited IPA,"Our latest release is a fruited hazy IPA bursting with pineapple, passion fruit, and guava — it’s juicy, tropical, and just a little bit wild. Just like that epic beach party in The Lost Boys. (You know the one — saxophones blazing, bonfires roaring, pure 80s magic."
Volition Brewing,Princess Peach's Estranged Sister,6.0 Fruited Sour - Apricot Lemon Ginger,"Not all royalty lives in the Mushroom Kingdom. This golden sour starts with a delicate base of Pilsner malt, white wheat malt, and flaked barley before being loaded with generous amounts of apricot and lemon purée. 
  
 A subtle touch of ginger rounds out the finish, adding just enough depth without stealing the spotlight. The result is bright, refreshing, and beautifully layered—bursting with juicy stone fruit, vibrant citrus, clean acidity, and a whisper of spice."
Watts Brewing Company,The Leafcutter,5.1% - Kölsch-style,"Our flagship beer is a bright, crisp take on the ales of Köln, Germany. We took the precision of this classic German style and adapted it to the American palate with PNW-grown hops, producing a beer of surprising depth and nuance for such a refreshing style."
Watts Brewing Company,Red Mason Rye,5.5% - German-style Amber Rye Ale,"Our signature rye ale features the earthy and faintly spicy quality of malted rye, interwoven with Yakima-grown Mt Hood hops. The result is a malt forward, yet dry balance with subtle fruit-like fermentation character and moderate hop bitterness."
Watts Brewing Company,Apian IPA,6% - West Coast IPA,"Our rotating line of IPAs is all about hops. Each release showcases a different blend of hops over a crisp, dry bed of pale malt. Join us on this hop odyssey as we explore new varieties from the PNW and from around the globe!"
Well 80 Brewing Company,80 lbs of Hops,7.0% Hazy IPA,2021 Washington Beer Awards Silver Medal Hazy IPA. This easy-drinkin' New England Style Hazy IPA features Tropical Fruit and a pleasantly complex hop profile.
Well 80 Brewing Company,Original Lager Year '64,4.2% American Lager,60's Recipe Brewed with Olympia Head Brewer.
Well 80 Brewing Company,Muffin Man's Thai Farm Saison,7.0% French Saison,"Brewed in Collaboration with Famed Home Brewer “Muffin Man”. Made with Lemon Grass, Ginger, and Lemon Peel. Fermented with French Saison Yeast."
Well 80 Brewing Company,Casa Mia Restaurant Birra La Rossa,7.5% Dopplebock,"Birra la Rossa is a classic Italian style dopplebock lager, featuring complex flavors of sweet malt and toasted grains. It's malty profile is enhanced with subtle bitterness from European hops."
Yonder Cider,Dry,6.5% / Dry Apple,"Bright, light and refreshing with the bite of
 bittersweet apples. Bright notes of citrus,
 hints of orange and lime dance with flavors
 of tropical fruit, making this a very refreshing
 but hard to define cider."
Yonder Cider,Hot Yonder Summer,6.9% / fruited cider,"This cider is packed with the refreshing taste of peach, lemon, and a touch of mint. Tart and juicy all at the same time. Some of our favorite flavors of the season!"
